//RL6286_MAC_PHY_Parameter_v024_20130125
//RL6286_MAC_PHY_Parameter_v024_20130125
// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//		Band:			2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/MKK				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channle.					
//							
//							
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#6#	FCC	ETSI	MKK	CCC KCC	C-Tick
CH124	18	18	15	18	16	15
CH128	18	18	15	18	15	15
CH132	18	18	15	18	14	15
CH136	18	18	15	18	14	15
CH140	18	18	15	18	13	15
//5G Band 4 				  			
CH149	18	18	NA	18	17	18
CH153	18	18	NA	18	17	18
CH157	18	18	NA	18	17	18
CH161	18	18	NA	18	17	18
CH165	18	18	NA	18	17	18
##	END                       						
//                							
//Table 10: ===========================================							
//                							
##	5G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#6#	FCC	ETSI	MKK	CCC KCC	C-Tick
//5G Band 1							
CH38	13.5	16	16	18	12	16
CH46	13.5	16	16	18	13	16
//5G Band 2       	  						
CH54	18	16	16	18	16	16
CH62	18	16	16	18	16	16
//5G Band 3       							
CH102	18	17.5	16	18	14	16
CH110	18	17.5	16	18	16	16
CH118	18	17.5	16	18	18	16
CH126	18	17.5	16	18	17	16
CH134	18	17.5	16	18	16	16
//5G Band 4         							
CH151	17.5	18	NA	18	18	18
CH159	17.5	18	NA	18	18	18
##	END       						
//                							
//Table 11: ===========================================							
//							
##	5G;, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#6#	FCC	ETSI	MKK	CCC KCC	C-Tick
//5G Band 1							
CH38	13.5	16	15	18	11	16
CH46	13.5	16	15	18	12	16
//5G Band 2       	  						
CH54	18	16	15	18	15	16
CH62	18	16	15	18	15	16
//5G Band 3       	  						
CH102	18	17.5	15	18	13	16
CH110	18	17.5	15	18	15	16
CH118	18	17.5	15	18	17	16
CH126	18	17.5	15	18	16	16
CH134	18	17.5	15	18	15	16
//5G Band 4       	  						
CH151	17.5	18	NA	18	17	18
CH159	17.5	18	NA	18	17	18
##	END						
//                							
//Table 12: ===========================================							
//							
##	5G, 80M, 1T, VHT, //(MCS0~MCS9)						
##	START
##	#6#	FCC	ETSI	MKK	CCC KCC	C-Tick
//5G Band 1							
CH42	13.5	16	16	18	11	16
//5G Band 2       	  						
CH58	18	16	16	18	12	16
//5G Band 3       	  						
CH106	18	16	16	18	15	16
CH122	18	18	16	18	17	16
//5G Band 4       	  						
CH155	17	18	NA	17	18	17	
##	END						
//                							
//Table 13: ===========================================							
//							
##	5G, 80M, 2T, VHT, //(MCS0~MCS9)						
##	START
##	#6#	FCC	ETSI	MKK	CCC KCC	C-Tick
//5G Band 1       							
CH42	13.5	16	15	18	12	16
//5G Band 2       	  						
CH58	18	15	16	18	11	16
//5G Band 3       	  						
CH106	18	16	15	18	14	16
CH122	18	18	15	18	16	16
//5G Band 4       	  						
CH155	17	18	NA	17	17	17
##	END						
